pl_name,hostname,tic_id,pl_orbsmax,pl_rade,pl_masse,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,SpT_PM,Lxuv/Lbol,t_sat,gamma,v_esc,"Loss/0.01protoatm., t=0.1 Gyr",insol_0.1_Gyr,"Loss/0.01protoatm., t=0.6 Gyr",insol_0.6_Gyr,"Loss/0.01protoatm., t=1.0 Gyr",insol_1.0_Gyr,"Loss/0.01protoatm., t=5.0 Gyr",insol_5.0_Gyr,"Loss/0.01protoatm., t=10.0 Gyr",insol_10.0_Gyr,"Loss/0.01protoatm., star_age",insol_star_age
KOI-142 b,KOI-142,TIC 122712595,0.09586,3.438,9.5,G6 V,5466.0,0.897,0.99,0.684,1.6,G8V,0.00100,0.1,1.23,18.6,0.70967150,74.41409,1.75179340,74.41409,1.97830603,74.41409,2.54042312,74.41409,2.72533342,74.41409,2.16447025,64.01389
KOI-142 c,KOI-142,TIC 122712595,0.154121003,14.0,214.1,G6 V,5466.0,0.897,0.99,0.684,1.6,G8V,0.00100,0.1,1.23,43.7,0.03649967,28.78766,0.09009785,28.78766,0.10174780,28.78766,0.13065849,28.78766,0.14016875,28.78766,0.11132256,24.76426
Kepler-122 e,Kepler-122,TIC 122714267,0.227,2.6,27.7,,6050.0,1.216,0.982,1.862,7.94,F9V,0.00100,0.1,1.23,36.5,0.01752954,36.13086,0.04327092,36.13086,0.04886599,36.13086,0.06275080,36.13086,0.06731826,36.13086,0.06587834,38.29792
Kepler-122 f,Kepler-122,TIC 122714267,0.28575,1.75,36.0,,5917.0,0.949,1.03,1.862,7.94,G0V,0.00100,0.1,1.23,50.7,0.00199709,22.80119,0.00492974,22.80119,0.00556717,22.80119,0.00714903,22.80119,0.00766939,22.80119,0.00750534,24.16876
KOI-984 c,KOI-984,TIC 122784501,0.1467,14.1,209.8,,5295.0,0.818,0.928,0.474,1.3,K0V,0.00100,0.1,1.23,43.1,0.02972473,22.03636,0.07337422,22.03636,0.08286174,22.03636,0.10640613,22.03636,0.11415113,22.03636,0.08731815,18.25791
Kepler-75 b,Kepler-75,TIC 122785299,0.0818,11.77,3209.9,K0 V,5200.0,0.89,0.91,0.610,6.2,K1V,0.00100,0.1,1.23,184.6,0.00030542,91.12203,0.00075392,91.12203,0.00085141,91.12203,0.00109333,91.12203,0.00117291,91.12203,0.00111940,94.19548
Kepler-8 b,Kepler-8,TIC 123233041,0.0474,15.871944,187.5197,,6213.0,1.486,1.213,4.027,3.47,F8V,0.00100,0.1,1.23,38.4,4.31689707,1792.43459,10.65607368,1792.43459,12.03393889,1792.43459,15.45326971,1792.43459,16.57807001,1792.43459,14.78429482,1731.39848
Kepler-94 b,Kepler-94,TIC 123309556,0.03377,3.51,10.84,M0 V,4781.0,0.76,0.81,0.244,1.41,K3V,0.00100,0.1,1.23,19.6,1.66437994,213.52950,4.10844988,213.52950,4.63968590,213.52950,5.95800911,213.52950,6.39167594,213.52950,4.96346247,179.60356
Kepler-94 c,Kepler-94,TIC 123309556,1.596806621,12.5,3126.0,M0 V,4781.0,0.76,0.81,0.244,1.41,K3V,0.00100,0.1,1.23,176.8,0.00000040,0.09550,0.00000100,0.09550,0.00000113,0.09550,0.00000145,0.09550,0.00000155,0.09550,0.00000121,0.08033
Kepler-102 f,Kepler-102,TIC 123357864,0.1656,0.861,4.3,,4909.0,0.724,0.803,0.260,1.1,K3V,0.00100,0.1,1.23,25.0,0.00694262,9.49553,0.01713757,9.49553,0.01935351,9.49553,0.02485263,9.49553,0.02666158,9.49553,0.01973891,7.61454
Kepler-102 d,Kepler-102,TIC 123357864,0.08618,1.154,3.0,,4909.0,0.724,0.803,0.260,1.1,K3V,0.00100,0.1,1.23,18.0,0.12680423,35.06122,0.31301076,35.06122,0.35348408,35.06122,0.45392326,35.06122,0.48696306,35.06122,0.36052325,28.11586
Kepler-102 c,Kepler-102,TIC 123357864,0.06702,0.567,1.7,,4909.0,0.724,0.803,0.260,1.1,K3V,0.00100,0.1,1.23,19.4,0.07744873,57.97372,0.19117884,57.97372,0.21589889,57.97372,0.27724453,57.97372,0.29742438,57.97372,0.22019823,46.48956
Kepler-102 b,Kepler-102,TIC 123357864,0.05521,0.46,1.1,,4909.0,0.724,0.803,0.260,1.1,K3V,0.00100,0.1,1.23,17.3,0.14555410,85.42884,0.35929400,85.42884,0.40575189,85.42884,0.52104248,85.42884,0.55896770,85.42884,0.41383190,68.50603
Kepler-102 e,Kepler-102,TIC 123357864,0.1162,2.17,4.7,,4909.0,0.724,0.803,0.260,1.1,K3V,0.00100,0.1,1.23,16.5,0.18894832,19.28536,0.46641076,19.28536,0.52671920,19.28536,0.67638151,19.28536,0.72561343,19.28536,0.53720812,15.46508
Kepler-1654 b,Kepler-1654,TIC 123417316,2.026,9.180171,158.915,G5 V,5597.0,1.179,1.011,1.230,5.0,G6V,0.00100,0.1,1.23,46.5,0.00019444,0.29966,0.00047997,0.29966,0.00054203,0.29966,0.00069604,0.29966,0.00074670,0.29966,0.00069604,0.30256
Kepler-139 c,Kepler-139,TIC 123450224,0.586,3.38,13.0,,5594.0,1.3,1.078,1.037,5.1,G6V,0.00100,0.1,1.23,21.9,0.01462110,3.02124,0.03609155,3.02124,0.04075830,3.02124,0.05233939,3.02124,0.05614903,3.02124,0.05245687,3.05726
Kepler-139 b,Kepler-139,TIC 123450224,0.127,2.94,7.0,,5594.0,1.3,1.078,1.037,5.1,G6V,0.00100,0.1,1.23,17.3,0.70656200,64.32393,1.74411774,64.32393,1.96963787,64.32393,2.52929199,64.32393,2.71339208,64.32393,2.53496902,65.09082
Kepler-139 d,Kepler-139,TIC 123450224,0.0755533961,1.695,2.0,,5622.0,1.045,1.078,1.037,5.1,G6V,0.00100,0.1,1.23,12.1,4.68654664,181.74900,11.56853767,181.74900,13.06438746,181.74900,16.77651056,181.74900,17.99762586,181.74900,16.81416568,183.91586
Kepler-139 e,Kepler-139,TIC 123450224,3.23579639,13.7,378.0,,5622.0,1.045,1.078,1.037,5.1,G6V,0.00100,0.1,1.23,58.7,0.00003777,0.09909,0.00009323,0.09909,0.00010528,0.09909,0.00013520,0.09909,0.00014504,0.09909,0.00013550,0.10027
Kepler-128 c,Kepler-128,TIC 123490545,0.16517,1.521,3.38,,6072.0,1.659,1.184,3.762,4.07,F9V,0.00100,0.1,1.23,16.7,0.89958812,137.89790,2.22059437,137.89790,2.50772449,137.89790,3.22027087,137.89790,3.45466538,137.89790,3.14317449,135.89618
Kepler-128 b,Kepler-128,TIC 123490545,0.12545,1.421,3.79,,6072.0,1.659,1.184,3.762,4.07,F9V,0.00100,0.1,1.23,18.3,1.01137984,239.04445,2.49654738,239.04445,2.81935913,239.04445,3.62045357,239.04445,3.88397626,239.04445,3.53377643,235.57448
Kepler-422 b,Kepler-422,TIC 123495874,0.082,12.89,136.66,,5972.0,1.24,1.15,1.738,3.4,F9.5V,0.00100,0.1,1.23,36.4,0.62774032,258.44748,1.54954982,258.44748,1.74991169,258.44748,2.24713267,258.44748,2.41069518,258.44748,2.14418224,248.98820
TOI-5153 b,TOI-5153,TIC 124029677,0.158,11.88151954,1036.12060682,F8 V,6300.0,1.4,1.24,2.912,5.4,F7V,0.00100,0.1,1.23,104.4,0.00386049,116.65835,0.00952946,116.65835,0.01076166,116.65835,0.01381948,116.65835,0.01482536,116.65835,0.01393924,118.80555
TOI-198 b,TOI-198,TIC 12421862,0.0675,1.36,3.17,M0 V,3801.0,0.418,0.417,0.033,1.0,M0.5V,0.00100,0.6,1.23,17.1,0.03817882,7.20099,0.22907290,17.50323,0.33947658,22.96909,0.61345599,32.32248,0.70358243,34.55594,0.33947658,18.05945
HD 114386 b,HD 114386,TIC 124306858,1.73,13.6,464.02947422,K3 VC,4836.0,0.76,0.6,0.288,1.4,K3V,0.00100,0.1,1.23,65.3,0.00002384,0.09636,0.00005886,0.09636,0.00006647,0.09636,0.00008535,0.09636,0.00009156,0.09636,0.00007101,0.08095
TOI-669 b,TOI-669,TIC 124573851,0.048,2.58606487,10.0,,5597.0,0.9882,0.9245,0.866,7.9,G6V,0.00100,0.1,1.23,22.0,1.37685301,375.86988,3.39870209,375.86988,3.83816540,375.86988,4.92874408,375.86988,5.28749359,375.86988,5.17185191,398.21794
HD 151450 c,HD 151450,TIC 12514017,14.131,12.8,1636.180639236,,6091.98,1.17184,1.14,1.704,nan,F9V,0.00100,0.1,1.23,126.4,0.00000014,0.00853,0.00000035,0.00853,0.00000039,0.00853,0.00000051,0.00853,0.00000054,0.00853,nan,nan
TOI-3856 b,TOI-3856,TIC 125552076,0.0325,13.59649359,171.62733978,,5622.0,1.055,1.096,1.002,2.6,G6V,0.00100,0.1,1.23,39.7,1.71452140,948.64403,4.23222192,948.64403,4.77946207,948.64403,6.13750137,948.64403,6.58423294,948.64403,5.64548721,881.02167
