pl_name,hostname,tic_id,pl_orbsmax,pl_rade,pl_masse,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,SpT_PM,Lxuv/Lbol,t_sat,gamma
TOI-1452 b,TOI-1452,TIC 420112589,0.061,1.672,4.82,M4 +/- 0.5 V,3185.0,0.275,0.249,0.007,nan,M4V,0.001,0.6,1.23
TOI-4961 b,TOI-4961,TIC 420202798,0.0726,12.34108775,572.0911326,,5380.0,0.912,0.912,0.629,8.0,G9V,0.001,0.1,1.23
TOI-1695 b,TOI-1695,TIC 422756130,0.033548,1.9,6.36,M1 V,3690.0,0.515,0.513,0.044,nan,M1V,0.001,0.6,1.23
HD 23472 f,HD 23472,TIC 425997655,0.0906,1.137,0.77,K4 V,4684.0,0.71,0.67,0.237,nan,K4V,0.001,0.1,1.23
HD 23472 d,HD 23472,TIC 425997655,0.04298,0.75,0.55,K4 V,4684.0,0.71,0.67,0.237,nan,K4V,0.001,0.1,1.23
HD 23472 c,HD 23472,TIC 425997655,0.1646,1.87,3.41,K4 V,4684.0,0.71,0.67,0.237,nan,K4V,0.001,0.1,1.23
HD 23472 b,HD 23472,TIC 425997655,0.1162,2.0,8.32,K4 V,4684.0,0.71,0.67,0.237,nan,K4V,0.001,0.1,1.23
HD 23472 e,HD 23472,TIC 425997655,0.068,0.818,0.72,K4 V,4684.0,0.71,0.67,0.237,nan,K4V,0.001,0.1,1.23
TOI-1669 c,TOI-1669,TIC 428679607,0.0376,2.2963977,13.0,,5497.0,1.0561,0.9867,0.921,7.7,G8V,0.001,0.1,1.23
TOI-2154 b,TOI-2154,TIC 428787891,0.0513,16.28664896,292.40213444,,6280.0,1.396,1.233,2.720,2.9,F7V,0.001,0.1,1.23
TOI-5788 b,TOI-5788,TIC 42883782,0.064,1.528,3.72,,5615.0,0.87,0.87,0.712,5.72,G6V,0.001,0.1,1.23
TOI-5788 c,TOI-5788,TIC 42883782,0.1197,2.272,6.4,,5615.0,0.87,0.87,0.712,5.72,G6V,0.001,0.1,1.23
TOI-782 b,TOI-782,TIC 429358906,0.0578,2.734,19.1,,3370.0,0.413,0.397,0.020,nan,M3V,0.001,0.6,1.23
TOI-4641 b,TOI-4641,TIC 436873727,0.173,8.18255591,1229.99593509,,6560.0,1.72,1.41,4.950,2.69,F5V,0.001,0.1,1.23
TOI-4603 b,TOI-4603,TIC 437856897,0.0888,11.67975789,4096.80816623,F,6264.0,2.738,1.765,10.400,1.64,F7V,0.001,0.1,1.23
TOI-2374 b,TOI-2374,TIC 439366538,0.0471,6.81,56.64,,4802.0,0.69,0.75,0.302,4.1,K3V,0.001,0.1,1.23
TOI-3160 A b,TOI-3160 A,TIC 440872576,0.0505,13.7646283,378.21580433,,6190.0,1.346,1.088,2.390,5.5,F8V,0.001,0.1,1.23
TOI-836.01,TOI-836,TIC 440887364,0.075,2.587,9.6,K V,4552.0,0.665,0.678,0.140,5.4,K4V,0.001,0.1,1.23
TOI-836 b,TOI-836,TIC 440887364,0.0422,1.704,4.53,K V,4552.0,0.665,0.678,0.140,5.4,K4V,0.001,0.1,1.23
AU Mic c,AU Mic,TIC 441420236,0.119,2.79,14.46,M1 V,3540.0,0.862,0.635,0.105,0.019,M2V,0.001,0.6,1.23
AU Mic b,AU Mic,TIC 441420236,0.07,4.79,8.99,M1 V,3540.0,0.862,0.635,0.105,0.019,M2V,0.001,0.6,1.23
HD 221416 b,HD 221416,TIC 441462736,0.1228,9.17,60.5,K0 IV/V,5080.0,2.943,1.212,5.150,4.9,K2V,0.001,0.1,1.23
TOI-1670 c,TOI-1670,TIC 441739020,0.249,11.06326395,200.23189641,F7 V,6170.0,1.316,1.21,2.515,2.53,F8V,0.001,0.1,1.23
TOI-1670 b,TOI-1670,TIC 441739020,0.103,2.06,41.31769291,F7 V,6170.0,1.316,1.21,2.515,2.53,F8V,0.001,0.1,1.23
TOI-2088 b,TOI-2088,TIC 441765914,0.472,3.6831179,37.0,,5081.0,0.8481,0.9027,0.435,4.5,K2V,0.001,0.1,1.23
TOI-3757 b,TOI-3757,TIC 445751830,0.03845,12.0,85.3,M0 V,3913.0,0.62,0.64,0.087,7.1,K9V,0.001,0.1,1.23
TOI-1710 b,TOI-1710,TIC 445805961,0.166,5.20315158,22.4,G5 V,5684.0,0.9574,1.0258,0.864,1.5,G4V,0.001,0.1,1.23
TOI-1273 b,TOI-1273,TIC 445859771,0.0549,11.09689089,70.557906354,,5690.0,1.06,1.06,1.070,3.1,G4V,0.001,0.1,1.23
TOI-2107 b,TOI-2107,TIC 446549906,0.03515,13.57407563,263.79757781,,5627.0,0.932,0.961,0.786,4.0,G6V,0.001,0.1,1.23
TOI-1231 b,TOI-1231,TIC 447061717,0.1288,3.65,15.4,M3 V,3553.0,0.476,0.485,0.033,nan,M2V,0.001,0.6,1.23
