pl_name,hostname,pl_orbsmax,pl_rade,pl_masse,st_spectype,st_teff,st_lum,st_age,SpT_PM,Lxuv/Lbol,t_sat,gamma,v_esc,"Loss/0.01protoatm., t=0.1 Gyr",insol_0.1_Gyr,"Loss/0.01protoatm., t=0.6 Gyr",insol_0.6_Gyr,"Loss/0.01protoatm., t=1.0 Gyr",insol_1.0_Gyr,"Loss/0.01protoatm., t=5.0 Gyr",insol_5.0_Gyr,"Loss/0.01protoatm., t=10.0 Gyr",insol_10.0_Gyr,"Loss/0.01protoatm., star_age",insol_star_age
Kepler-80 e,Kepler-80,0.0491,1.6,4.13,K5,4540.0,0.17000,2.0,K4V,0.00100,0.1,1.23,18.0,0.24906699,70.51589,0.61481110,70.51589,0.69430818,70.51589,0.89158934,70.51589,0.95648564,70.51589,0.78827684,62.94691
Kepler-80 f,Kepler-80,0.0175,1.21,4459.73,K5,4540.0,0.17000,2.0,K4V,0.00100,0.1,1.23,678.7,0.00000073,555.10342,0.00000180,555.10342,0.00000203,555.10342,0.00000260,555.10342,0.00000279,555.10342,0.00000230,495.52011
Kepler-81 b,Kepler-81,0.0522,2.42,17.2,M0 V,4385.0,0.12900,3.63,K5V,0.00100,0.1,1.23,29.8,0.03335858,47.34226,0.08234420,47.34226,0.09299158,47.34226,0.11941426,47.34226,0.12810609,47.34226,0.11490648,45.99502
Kepler-81 c,Kepler-81,0.08347,2.37,4.3,M0 V,4385.0,0.12900,3.63,K5V,0.00100,0.1,1.23,15.1,0.19606795,18.51523,0.48398526,18.51523,0.54656614,18.51523,0.70186778,18.51523,0.75295478,18.51523,0.67537287,17.98833
Kepler-82 b,Kepler-82,0.1683,4.07,12.15,,5401.0,0.65303,1.41,G9V,0.00100,0.1,1.23,19.3,0.15486802,23.05482,0.38228502,23.05482,0.43171572,23.05482,0.55438369,23.05482,0.59473573,23.05482,0.46184264,19.39183
Kepler-82 c,Kepler-82,0.2626,5.34,13.9,,5401.0,0.65303,1.41,G9V,0.00100,0.1,1.23,18.0,0.10977515,9.46979,0.27097521,9.46979,0.30601319,9.46979,0.39296397,9.46979,0.42156672,9.46979,0.32736807,7.96522
Kepler-82 d,Kepler-82,0.034,1.77,885.098,,5428.0,0.65303,1.41,G9V,0.00100,0.1,1.23,250.0,0.00005881,564.90077,0.00014518,564.90077,0.00016395,564.90077,0.00021054,564.90077,0.00022586,564.90077,0.00017539,475.14836
Kepler-82 e,Kepler-82,0.063,2.47,254.02,,5428.0,0.65303,1.41,G9V,0.00100,0.1,1.23,113.4,0.00056516,164.53144,0.00139508,164.53144,0.00157547,164.53144,0.00202312,164.53144,0.00217038,164.53144,0.00168541,138.39040
Kepler-82 f,Kepler-82,0.3395,4.84,20.9,,5401.0,0.65303,1.41,G9V,0.00100,0.1,1.23,23.2,0.02163034,5.66566,0.05339355,5.66566,0.06029751,5.66566,0.07743048,5.66566,0.08306643,5.66566,0.06450532,4.76549
Kepler-84 b,Kepler-84,0.0827,2.23,40.0,,6039.0,2.45471,3.98,F9V,0.00100,0.1,1.23,47.3,0.03658920,358.91283,0.09031886,358.91283,0.10199738,358.91283,0.13097898,358.91283,0.14051257,358.91283,0.12749346,352.73519
Kepler-84 c,Kepler-84,0.1072,2.36,20.2,,6039.0,2.45471,3.98,F9V,0.00100,0.1,1.23,32.7,0.10120757,213.60452,0.24982652,213.60452,0.28212991,213.60452,0.36229447,213.60452,0.38866487,213.60452,0.35265337,209.92794
